sample_id,subject_id,gesture_id,video_path,viewpoint,performer_handedness,background_id,num_frames,fps
U01_G02_V08,U01,G02,videos/User_01/Gesture_02/U01_G02_V08.mp4,allo,right,B02,152,56.83
U01_G02_V09,U01,G02,videos/User_01/Gesture_02/U01_G02_V09.mp4,allo,right,B02,152,57.38
U01_G02_V10,U01,G02,videos/User_01/Gesture_02/U01_G02_V10.mp4,allo,right,B02,150,57.72
U01_G02_V11,U01,G02,videos/User_01/Gesture_02/U01_G02_V11.mp4,allo,right,B02,146,58.42
U01_G02_V12,U01,G02,videos/User_01/Gesture_02/U01_G02_V12.mp4,allo,right,B02,144,56.99
U01_G02_V13,U01,G02,videos/User_01/Gesture_02/U01_G02_V13.mp4,allo,right,B02,145,55.55
U01_G02_V14,U01,G02,videos/User_01/Gesture_02/U01_G02_V14.mp4,allo,right,B02,148,57.69
U01_G03_V01,U01,G03,videos/User_01/Gesture_03/U01_G03_V01.mp4,allo,right,B01,147,57.41
U01_G03_V02,U01,G03,videos/User_01/Gesture_03/U01_G03_V02.mp4,allo,right,B01,145,56.52
U01_G03_V03,U01,G03,videos/User_01/Gesture_03/U01_G03_V03.mp4,allo,right,B01,161,57.52
U01_G03_V04,U01,G03,videos/User_01/Gesture_03/U01_G03_V04.mp4,allo,right,B01,154,58.73
U01_G03_V05,U01,G03,videos/User_01/Gesture_03/U01_G03_V05.mp4,allo,right,B01,150,59.16
U01_G03_V06,U01,G03,videos/User_01/Gesture_03/U01_G03_V06.mp4,allo,right,B01,153,59.64
U01_G03_V07,U01,G03,videos/User_01/Gesture_03/U01_G03_V07.mp4,allo,right,B02,152,56.04
U01_G03_V08,U01,G03,videos/User_01/Gesture_03/U01_G03_V08.mp4,allo,right,B02,148,57.04
U01_G03_V09,U01,G03,videos/User_01/Gesture_03/U01_G03_V09.mp4,allo,right,B02,147,56.56
U01_G03_V10,U01,G03,videos/User_01/Gesture_03/U01_G03_V10.mp4,allo,right,B02,154,57.92
U01_G03_V11,U01,G03,videos/User_01/Gesture_03/U01_G03_V11.mp4,allo,right,B02,145,56.51
U01_G03_V12,U01,G03,videos/User_01/Gesture_03/U01_G03_V12.mp4,allo,right,B02,154,58.14
U01_G03_V13,U01,G03,videos/User_01/Gesture_03/U01_G03_V13.mp4,allo,right,B02,140,55.29
U01_G03_V14,U01,G03,videos/User_01/Gesture_03/U01_G03_V14.mp4,allo,right,B02,142,55.71
U01_G03_V15,U01,G03,videos/User_01/Gesture_03/U01_G03_V15.mp4,allo,right,B02,149,57.33
U01_G04_V01,U01,G04,videos/User_01/Gesture_04/U01_G04_V01.mp4,allo,right,B01,143,59
U01_G04_V02,U01,G04,videos/User_01/Gesture_04/U01_G04_V02.mp4,allo,right,B01,149,59.63
U01_G04_V03,U01,G04,videos/User_01/Gesture_04/U01_G04_V03.mp4,allo,right,B01,143,57.21
U01_G04_V04,U01,G04,videos/User_01/Gesture_04/U01_G04_V04.mp4,allo,right,B01,159,58.44
U01_G04_V05,U01,G04,videos/User_01/Gesture_04/U01_G04_V05.mp4,allo,right,B01,151,58.48
U01_G04_V06,U01,G04,videos/User_01/Gesture_04/U01_G04_V06.mp4,allo,right,B01,153,58.08
U01_G04_V07,U01,G04,videos/User_01/Gesture_04/U01_G04_V07.mp4,allo,right,B02,146,57.63
U01_G04_V08,U01,G04,videos/User_01/Gesture_04/U01_G04_V08.mp4,allo,right,B02,139,56.13
U01_G04_V09,U01,G04,videos/User_01/Gesture_04/U01_G04_V09.mp4,allo,right,B02,140,55.1
U01_G04_V10,U01,G04,videos/User_01/Gesture_04/U01_G04_V10.mp4,allo,right,B02,137,54.59
U01_G04_V11,U01,G04,videos/User_01/Gesture_04/U01_G04_V11.mp4,allo,right,B02,138,56.39
U01_G04_V12,U01,G04,videos/User_01/Gesture_04/U01_G04_V12.mp4,allo,right,B02,147,56.56
U01_G04_V13,U01,G04,videos/User_01/Gesture_04/U01_G04_V13.mp4,allo,right,B02,147,57.42
U01_G05_V01,U01,G05,videos/User_01/Gesture_05/U01_G05_V01.mp4,allo,right,B01,151,58.1
U01_G05_V02,U01,G05,videos/User_01/Gesture_05/U01_G05_V02.mp4,allo,right,B01,152,58.36
U01_G05_V03,U01,G05,videos/User_01/Gesture_05/U01_G05_V03.mp4,allo,right,B01,145,54.4
U01_G05_V04,U01,G05,videos/User_01/Gesture_05/U01_G05_V04.mp4,allo,right,B01,151,57.37
U01_G05_V05,U01,G05,videos/User_01/Gesture_05/U01_G05_V05.mp4,allo,right,B01,144,56.13
U01_G05_V06,U01,G05,videos/User_01/Gesture_05/U01_G05_V06.mp4,allo,right,B01,149,59.37
U01_G05_V07,U01,G05,videos/User_01/Gesture_05/U01_G05_V07.mp4,allo,right,B02,143,55.49
U01_G05_V08,U01,G05,videos/User_01/Gesture_05/U01_G05_V08.mp4,allo,right,B02,145,56.15
U01_G05_V09,U01,G05,videos/User_01/Gesture_05/U01_G05_V09.mp4,allo,right,B02,147,57.13
U01_G05_V10,U01,G05,videos/User_01/Gesture_05/U01_G05_V10.mp4,allo,right,B02,143,56.47
U01_G05_V11,U01,G05,videos/User_01/Gesture_05/U01_G05_V11.mp4,allo,right,B02,143,58.3
U01_G05_V12,U01,G05,videos/User_01/Gesture_05/U01_G05_V12.mp4,allo,right,B02,149,57.33
U01_G06_V01,U01,G06,videos/User_01/Gesture_06/U01_G06_V01.mp4,allo,dual,B01,153,59.98
U01_G06_V02,U01,G06,videos/User_01/Gesture_06/U01_G06_V02.mp4,allo,dual,B01,152,58.53
U01_G06_V03,U01,G06,videos/User_01/Gesture_06/U01_G06_V03.mp4,allo,dual,B01,150,58.47
U01_G06_V04,U01,G06,videos/User_01/Gesture_06/U01_G06_V04.mp4,allo,dual,B01,152,58.94
U01_G06_V05,U01,G06,videos/User_01/Gesture_06/U01_G06_V05.mp4,allo,dual,B01,139,57.94
U01_G06_V06,U01,G06,videos/User_01/Gesture_06/U01_G06_V06.mp4,allo,dual,B01,141,54
U01_G06_V07,U01,G06,videos/User_01/Gesture_06/U01_G06_V07.mp4,allo,dual,B02,148,57.68
U01_G06_V08,U01,G06,videos/User_01/Gesture_06/U01_G06_V08.mp4,allo,dual,B02,144,57.01
U01_G06_V09,U01,G06,videos/User_01/Gesture_06/U01_G06_V09.mp4,allo,dual,B02,145,57.01
U01_G06_V10,U01,G06,videos/User_01/Gesture_06/U01_G06_V10.mp4,allo,dual,B02,150,57.75
U01_G06_V11,U01,G06,videos/User_01/Gesture_06/U01_G06_V11.mp4,allo,dual,B02,144,56.09
U01_G06_V12,U01,G06,videos/User_01/Gesture_06/U01_G06_V12.mp4,allo,dual,B02,143,57.08
U01_G07_V01,U01,G07,videos/User_01/Gesture_07/U01_G07_V01.mp4,allo,dual,B01,150,59.86
U01_G07_V02,U01,G07,videos/User_01/Gesture_07/U01_G07_V02.mp4,allo,dual,B01,149,60.03
U01_G07_V03,U01,G07,videos/User_01/Gesture_07/U01_G07_V03.mp4,allo,dual,B01,146,59.62
U01_G07_V04,U01,G07,videos/User_01/Gesture_07/U01_G07_V04.mp4,allo,dual,B01,150,58.44
U01_G07_V05,U01,G07,videos/User_01/Gesture_07/U01_G07_V05.mp4,allo,dual,B01,150,57.72
U01_G07_V06,U01,G07,videos/User_01/Gesture_07/U01_G07_V06.mp4,allo,dual,B01,141,56.86
U01_G07_V07,U01,G07,videos/User_01/Gesture_07/U01_G07_V07.mp4,allo,dual,B01,127,56.7
U01_G07_V08,U01,G07,videos/User_01/Gesture_07/U01_G07_V08.mp4,allo,dual,B02,150,58.47
U01_G07_V09,U01,G07,videos/User_01/Gesture_07/U01_G07_V09.mp4,allo,dual,B02,138,54.01
U01_G07_V10,U01,G07,videos/User_01/Gesture_07/U01_G07_V10.mp4,allo,dual,B02,150,58.09
U01_G07_V11,U01,G07,videos/User_01/Gesture_07/U01_G07_V11.mp4,allo,dual,B02,151,57.73
U01_G07_V12,U01,G07,videos/User_01/Gesture_07/U01_G07_V12.mp4,allo,dual,B02,152,59.21
U01_G07_V13,U01,G07,videos/User_01/Gesture_07/U01_G07_V13.mp4,allo,dual,B02,152,57.75
U01_G07_V14,U01,G07,videos/User_01/Gesture_07/U01_G07_V14.mp4,allo,dual,B02,153,59.48
U01_G08_V01,U01,G08,videos/User_01/Gesture_08/U01_G08_V01.mp4,allo,right,B01,144,56.87
U01_G08_V02,U01,G08,videos/User_01/Gesture_08/U01_G08_V02.mp4,allo,right,B01,153,57.32
U01_G08_V03,U01,G08,videos/User_01/Gesture_08/U01_G08_V03.mp4,allo,right,B01,155,59.26
U01_G08_V04,U01,G08,videos/User_01/Gesture_08/U01_G08_V04.mp4,allo,right,B01,153,57.86
U01_G08_V05,U01,G08,videos/User_01/Gesture_08/U01_G08_V05.mp4,allo,right,B01,153,59.25
U01_G08_V06,U01,G08,videos/User_01/Gesture_08/U01_G08_V06.mp4,allo,right,B01,154,56.71
U01_G08_V07,U01,G08,videos/User_01/Gesture_08/U01_G08_V07.mp4,allo,right,B01,152,57.02
U01_G08_V08,U01,G08,videos/User_01/Gesture_08/U01_G08_V08.mp4,allo,right,B02,154,58.51
U01_G08_V09,U01,G08,videos/User_01/Gesture_08/U01_G08_V09.mp4,allo,right,B02,162,58.23
U01_G08_V10,U01,G08,videos/User_01/Gesture_08/U01_G08_V10.mp4,allo,right,B02,152,57.68
U01_G08_V11,U01,G08,videos/User_01/Gesture_08/U01_G08_V11.mp4,allo,right,B02,148,57.31
U01_G08_V12,U01,G08,videos/User_01/Gesture_08/U01_G08_V12.mp4,allo,right,B02,146,56.18
U01_G08_V13,U01,G08,videos/User_01/Gesture_08/U01_G08_V13.mp4,allo,right,B02,157,58.91
U01_G09_V01,U01,G09,videos/User_01/Gesture_09/U01_G09_V01.mp4,allo,right,B01,170,57.98
U01_G09_V02,U01,G09,videos/User_01/Gesture_09/U01_G09_V02.mp4,allo,right,B01,152,57.75
U01_G09_V03,U01,G09,videos/User_01/Gesture_09/U01_G09_V03.mp4,allo,right,B01,149,57.95
U01_G09_V04,U01,G09,videos/User_01/Gesture_09/U01_G09_V04.mp4,allo,right,B01,156,57.45
U01_G09_V05,U01,G09,videos/User_01/Gesture_09/U01_G09_V05.mp4,allo,right,B01,156,56.33
U01_G09_V06,U01,G09,videos/User_01/Gesture_09/U01_G09_V06.mp4,allo,right,B01,136,57.83
U01_G09_V07,U01,G09,videos/User_01/Gesture_09/U01_G09_V07.mp4,allo,right,B02,170,58.31
U01_G09_V08,U01,G09,videos/User_01/Gesture_09/U01_G09_V08.mp4,allo,right,B02,167,59.31
U01_G09_V09,U01,G09,videos/User_01/Gesture_09/U01_G09_V09.mp4,allo,right,B02,180,58.59
U01_G09_V10,U01,G09,videos/User_01/Gesture_09/U01_G09_V10.mp4,allo,right,B02,148,60.03
U01_G09_V11,U01,G09,videos/User_01/Gesture_09/U01_G09_V11.mp4,allo,right,B02,159,59.94
U01_G09_V12,U01,G09,videos/User_01/Gesture_09/U01_G09_V12.mp4,allo,right,B02,145,58.02
U01_G09_V13,U01,G09,videos/User_01/Gesture_09/U01_G09_V13.mp4,allo,right,B02,161,59.66
U01_G10_V01,U01,G10,videos/User_01/Gesture_10/U01_G10_V01.mp4,allo,right,B01,119,56.69
U01_G10_V02,U01,G10,videos/User_01/Gesture_10/U01_G10_V02.mp4,allo,right,B01,166,57.93
U01_G10_V03,U01,G10,videos/User_01/Gesture_10/U01_G10_V03.mp4,allo,right,B01,167,57.28
U01_G10_V04,U01,G10,videos/User_01/Gesture_10/U01_G10_V04.mp4,allo,right,B01,192,57.92
U01_G10_V05,U01,G10,videos/User_01/Gesture_10/U01_G10_V05.mp4,allo,right,B01,149,57.34
U01_G10_V06,U01,G10,videos/User_01/Gesture_10/U01_G10_V06.mp4,allo,right,B01,121,58.47
U01_G10_V07,U01,G10,videos/User_01/Gesture_10/U01_G10_V07.mp4,allo,right,B01,147,53.62
U01_G10_V08,U01,G10,videos/User_01/Gesture_10/U01_G10_V08.mp4,allo,right,B02,162,58.91
U01_G10_V09,U01,G10,videos/User_01/Gesture_10/U01_G10_V09.mp4,allo,right,B02,169,58.66
U01_G10_V10,U01,G10,videos/User_01/Gesture_10/U01_G10_V10.mp4,allo,right,B02,172,60.03
U01_G10_V11,U01,G10,videos/User_01/Gesture_10/U01_G10_V11.mp4,allo,right,B02,165,60.03
U01_G10_V12,U01,G10,videos/User_01/Gesture_10/U01_G10_V12.mp4,allo,right,B02,167,59.67
U01_G10_V13,U01,G10,videos/User_01/Gesture_10/U01_G10_V13.mp4,allo,right,B02,156,59.92
U01_G11_V01,U01,G11,videos/User_01/Gesture_11/U01_G11_V01.mp4,allo,right,B01,157,57.82
U01_G11_V02,U01,G11,videos/User_01/Gesture_11/U01_G11_V02.mp4,allo,right,B01,162,57.19
U01_G11_V03,U01,G11,videos/User_01/Gesture_11/U01_G11_V03.mp4,allo,right,B01,163,56.23
U01_G11_V04,U01,G11,videos/User_01/Gesture_11/U01_G11_V04.mp4,allo,right,B01,155,56.79
U01_G11_V05,U01,G11,videos/User_01/Gesture_11/U01_G11_V05.mp4,allo,right,B01,156,59.26
U01_G11_V06,U01,G11,videos/User_01/Gesture_11/U01_G11_V06.mp4,allo,right,B01,159,57.48
U01_G11_V07,U01,G11,videos/User_01/Gesture_11/U01_G11_V07.mp4,allo,right,B02,161,59.66
U01_G11_V08,U01,G11,videos/User_01/Gesture_11/U01_G11_V08.mp4,allo,right,B02,152,60.03
U01_G11_V09,U01,G11,videos/User_01/Gesture_11/U01_G11_V09.mp4,allo,right,B02,168,60.03
U01_G11_V10,U01,G11,videos/User_01/Gesture_11/U01_G11_V10.mp4,allo,right,B02,171,59.68
U01_G11_V11,U01,G11,videos/User_01/Gesture_11/U01_G11_V11.mp4,allo,right,B02,154,59.65
U01_G11_V12,U01,G11,videos/User_01/Gesture_11/U01_G11_V12.mp4,allo,right,B02,164,59.96
U01_G11_V13,U01,G11,videos/User_01/Gesture_11/U01_G11_V13.mp4,allo,right,B02,184,60.03
U01_G12_V01,U01,G12,videos/User_01/Gesture_12/U01_G12_V01.mp4,allo,right,B01,161,58.22
U01_G12_V02,U01,G12,videos/User_01/Gesture_12/U01_G12_V02.mp4,allo,right,B01,151,56.59
U01_G12_V03,U01,G12,videos/User_01/Gesture_12/U01_G12_V03.mp4,allo,right,B01,154,56.51
U01_G12_V04,U01,G12,videos/User_01/Gesture_12/U01_G12_V04.mp4,allo,right,B01,156,59.56
U01_G12_V05,U01,G12,videos/User_01/Gesture_12/U01_G12_V05.mp4,allo,right,B01,148,56.23
U01_G12_V06,U01,G12,videos/User_01/Gesture_12/U01_G12_V06.mp4,allo,right,B01,148,55.88
U01_G12_V07,U01,G12,videos/User_01/Gesture_12/U01_G12_V07.mp4,allo,right,B02,157,59.94
U01_G12_V08,U01,G12,videos/User_01/Gesture_12/U01_G12_V08.mp4,allo,right,B02,163,59.94
U01_G12_V09,U01,G12,videos/User_01/Gesture_12/U01_G12_V09.mp4,allo,right,B02,173,59.92
U01_G12_V10,U01,G12,videos/User_01/Gesture_12/U01_G12_V10.mp4,allo,right,B02,155,60.03
U01_G12_V11,U01,G12,videos/User_01/Gesture_12/U01_G12_V11.mp4,allo,right,B02,165,60.03
U01_G12_V12,U01,G12,videos/User_01/Gesture_12/U01_G12_V12.mp4,allo,right,B02,154,59.69
U01_G13_V01,U01,G13,videos/User_01/Gesture_13/U01_G13_V01.mp4,allo,right,B01,146,55.57
U01_G13_V02,U01,G13,videos/User_01/Gesture_13/U01_G13_V02.mp4,allo,right,B01,155,55.71
U01_G13_V03,U01,G13,videos/User_01/Gesture_13/U01_G13_V03.mp4,allo,right,B01,154,56.02
U01_G13_V04,U01,G13,videos/User_01/Gesture_13/U01_G13_V04.mp4,allo,right,B01,145,56.89
U01_G13_V05,U01,G13,videos/User_01/Gesture_13/U01_G13_V05.mp4,allo,right,B01,151,57.72
U01_G13_V06,U01,G13,videos/User_01/Gesture_13/U01_G13_V06.mp4,allo,right,B01,148,57.63
U01_G13_V07,U01,G13,videos/User_01/Gesture_13/U01_G13_V07.mp4,allo,right,B01,152,58.79
U01_G13_V08,U01,G13,videos/User_01/Gesture_13/U01_G13_V08.mp4,allo,right,B02,158,59.64
U01_G13_V09,U01,G13,videos/User_01/Gesture_13/U01_G13_V09.mp4,allo,right,B02,155,58.89
U01_G13_V10,U01,G13,videos/User_01/Gesture_13/U01_G13_V10.mp4,allo,right,B02,157,59.65
U01_G13_V11,U01,G13,videos/User_01/Gesture_13/U01_G13_V11.mp4,allo,right,B02,150,58.96
U01_G13_V12,U01,G13,videos/User_01/Gesture_13/U01_G13_V12.mp4,allo,right,B02,140,58.77
U01_G13_V13,U01,G13,videos/User_01/Gesture_13/U01_G13_V13.mp4,allo,right,B02,160,58.56
U01_G14_V01,U01,G14,videos/User_01/Gesture_14/U01_G14_V01.mp4,allo,right,B01,150,56.59
U01_G14_V02,U01,G14,videos/User_01/Gesture_14/U01_G14_V02.mp4,allo,right,B01,133,54.31
U01_G14_V03,U01,G14,videos/User_01/Gesture_14/U01_G14_V03.mp4,allo,right,B01,148,57.21
U01_G14_V04,U01,G14,videos/User_01/Gesture_14/U01_G14_V04.mp4,allo,right,B01,150,58.22
U01_G14_V05,U01,G14,videos/User_01/Gesture_14/U01_G14_V05.mp4,allo,right,B01,142,54.99
U01_G14_V06,U01,G14,videos/User_01/Gesture_14/U01_G14_V06.mp4,allo,right,B01,173,56.75
U01_G14_V07,U01,G14,videos/User_01/Gesture_14/U01_G14_V07.mp4,allo,right,B02,158,59.89
U01_G14_V08,U01,G14,videos/User_01/Gesture_14/U01_G14_V08.mp4,allo,right,B02,156,60.03
U01_G14_V09,U01,G14,videos/User_01/Gesture_14/U01_G14_V09.mp4,allo,right,B02,150,60.02
U01_G14_V10,U01,G14,videos/User_01/Gesture_14/U01_G14_V10.mp4,allo,right,B02,154,60.03
U01_G14_V11,U01,G14,videos/User_01/Gesture_14/U01_G14_V11.mp4,allo,right,B02,155,60.03
U01_G14_V12,U01,G14,videos/User_01/Gesture_14/U01_G14_V12.mp4,allo,right,B02,154,59.83
U01_G15_V01,U01,G15,videos/User_01/Gesture_15/U01_G15_V01.mp4,allo,right,B01,144,55.41
U01_G15_V02,U01,G15,videos/User_01/Gesture_15/U01_G15_V02.mp4,allo,right,B01,148,57.46
U01_G15_V03,U01,G15,videos/User_01/Gesture_15/U01_G15_V03.mp4,allo,right,B01,150,57.72
U01_G15_V04,U01,G15,videos/User_01/Gesture_15/U01_G15_V04.mp4,allo,right,B01,144,56.49
U01_G15_V05,U01,G15,videos/User_01/Gesture_15/U01_G15_V05.mp4,allo,right,B01,151,57.37
U01_G15_V06,U01,G15,videos/User_01/Gesture_15/U01_G15_V06.mp4,allo,right,B01,147,56.93
U01_G15_V07,U01,G15,videos/User_01/Gesture_15/U01_G15_V07.mp4,allo,right,B02,152,57.38
U01_G15_V08,U01,G15,videos/User_01/Gesture_15/U01_G15_V08.mp4,allo,right,B02,145,56.66
U01_G15_V09,U01,G15,videos/User_01/Gesture_15/U01_G15_V09.mp4,allo,right,B02,132,55.72
U01_G15_V10,U01,G15,videos/User_01/Gesture_15/U01_G15_V10.mp4,allo,right,B02,166,58.23
U01_G15_V11,U01,G15,videos/User_01/Gesture_15/U01_G15_V11.mp4,allo,right,B02,155,58.7
U01_G15_V12,U01,G15,videos/User_01/Gesture_15/U01_G15_V12.mp4,allo,right,B02,150,57.72
U01_G16_V01,U01,G16,videos/User_01/Gesture_16/U01_G16_V01.mp4,allo,right,B01,157,57.1
U01_G16_V02,U01,G16,videos/User_01/Gesture_16/U01_G16_V02.mp4,allo,right,B01,157,56.76
U01_G16_V03,U01,G16,videos/User_01/Gesture_16/U01_G16_V03.mp4,allo,right,B01,156,57.53
U01_G16_V04,U01,G16,videos/User_01/Gesture_16/U01_G16_V04.mp4,allo,right,B01,144,55.31
U01_G16_V05,U01,G16,videos/User_01/Gesture_16/U01_G16_V05.mp4,allo,right,B01,148,57.03
U01_G16_V06,U01,G16,videos/User_01/Gesture_16/U01_G16_V06.mp4,allo,right,B01,146,56.19
U01_G16_V07,U01,G16,videos/User_01/Gesture_16/U01_G16_V07.mp4,allo,right,B01,163,57.18
U01_G16_V08,U01,G16,videos/User_01/Gesture_16/U01_G16_V08.mp4,allo,right,B02,141,56.76
U01_G16_V09,U01,G16,videos/User_01/Gesture_16/U01_G16_V09.mp4,allo,right,B02,160,58.92
U01_G16_V10,U01,G16,videos/User_01/Gesture_16/U01_G16_V10.mp4,allo,right,B02,171,58.23
U01_G16_V11,U01,G16,videos/User_01/Gesture_16/U01_G16_V11.mp4,allo,right,B02,167,58.97
U01_G16_V12,U01,G16,videos/User_01/Gesture_16/U01_G16_V12.mp4,allo,right,B02,159,59.17
U01_G16_V13,U01,G16,videos/User_01/Gesture_16/U01_G16_V13.mp4,allo,right,B02,172,57.78
U01_G16_V14,U01,G16,videos/User_01/Gesture_16/U01_G16_V14.mp4,allo,right,B02,131,57.4
U01_G16_V15,U01,G16,videos/User_01/Gesture_16/U01_G16_V15.mp4,allo,right,B02,147,56.93
U01_G17_V01,U01,G17,videos/User_01/Gesture_17/U01_G17_V01.mp4,allo,right,B01,140,54.22
U01_G17_V02,U01,G17,videos/User_01/Gesture_17/U01_G17_V02.mp4,allo,right,B01,135,55.98
U01_G17_V03,U01,G17,videos/User_01/Gesture_17/U01_G17_V03.mp4,allo,right,B01,133,56.7
U01_G17_V04,U01,G17,videos/User_01/Gesture_17/U01_G17_V04.mp4,allo,right,B01,146,56.91
U01_G17_V05,U01,G17,videos/User_01/Gesture_17/U01_G17_V05.mp4,allo,right,B01,154,57.06
U01_G17_V06,U01,G17,videos/User_01/Gesture_17/U01_G17_V06.mp4,allo,right,B01,151,58.48
U01_G17_V07,U01,G17,videos/User_01/Gesture_17/U01_G17_V07.mp4,allo,right,B01,157,57.12
U01_G17_V08,U01,G17,videos/User_01/Gesture_17/U01_G17_V08.mp4,allo,right,B02,149,58.37
U01_G17_V09,U01,G17,videos/User_01/Gesture_17/U01_G17_V09.mp4,allo,right,B02,133,57.43
U01_G17_V10,U01,G17,videos/User_01/Gesture_17/U01_G17_V10.mp4,allo,right,B02,150,58.09
U01_G17_V11,U01,G17,videos/User_01/Gesture_17/U01_G17_V11.mp4,allo,right,B02,153,59.64
U01_G17_V12,U01,G17,videos/User_01/Gesture_17/U01_G17_V12.mp4,allo,right,B02,146,57.28
U01_G17_V13,U01,G17,videos/User_01/Gesture_17/U01_G17_V13.mp4,allo,right,B02,153,59.25
U01_G17_V14,U01,G17,videos/User_01/Gesture_17/U01_G17_V14.mp4,allo,right,B02,158,58.91
U01_G18_V01,U01,G18,videos/User_01/Gesture_18/U01_G18_V01.mp4,allo,dual,B01,158,58.18
U01_G18_V02,U01,G18,videos/User_01/Gesture_18/U01_G18_V02.mp4,allo,dual,B01,160,58.92
U01_G18_V03,U01,G18,videos/User_01/Gesture_18/U01_G18_V03.mp4,allo,dual,B01,151,57.7
U01_G18_V04,U01,G18,videos/User_01/Gesture_18/U01_G18_V04.mp4,allo,dual,B01,159,57.67
U01_G18_V05,U01,G18,videos/User_01/Gesture_18/U01_G18_V05.mp4,allo,dual,B01,147,55.79
U01_G18_V06,U01,G18,videos/User_01/Gesture_18/U01_G18_V06.mp4,allo,dual,B01,149,58.84
U01_G18_V07,U01,G18,videos/User_01/Gesture_18/U01_G18_V07.mp4,allo,dual,B02,156,60.03
U01_G18_V08,U01,G18,videos/User_01/Gesture_18/U01_G18_V08.mp4,allo,dual,B02,154,59.92
U01_G18_V09,U01,G18,videos/User_01/Gesture_18/U01_G18_V09.mp4,allo,dual,B02,154,60.03
U01_G18_V10,U01,G18,videos/User_01/Gesture_18/U01_G18_V10.mp4,allo,dual,B02,160,60.03
U01_G18_V11,U01,G18,videos/User_01/Gesture_18/U01_G18_V11.mp4,allo,dual,B02,152,60.03
U01_G18_V12,U01,G18,videos/User_01/Gesture_18/U01_G18_V12.mp4,allo,dual,B02,154,59.99
U01_G19_V01,U01,G19,videos/User_01/Gesture_19/U01_G19_V01.mp4,allo,dual,B01,154,58.49
U01_G19_V02,U01,G19,videos/User_01/Gesture_19/U01_G19_V02.mp4,allo,dual,B01,155,57.79
U01_G19_V03,U01,G19,videos/User_01/Gesture_19/U01_G19_V03.mp4,allo,dual,B01,163,59.3
U01_G19_V04,U01,G19,videos/User_01/Gesture_19/U01_G19_V04.mp4,allo,dual,B01,147,57.67
U01_G19_V05,U01,G19,videos/User_01/Gesture_19/U01_G19_V05.mp4,allo,dual,B01,154,58.14
U01_G19_V06,U01,G19,videos/User_01/Gesture_19/U01_G19_V06.mp4,allo,dual,B01,148,57.52
U01_G19_V07,U01,G19,videos/User_01/Gesture_19/U01_G19_V07.mp4,allo,dual,B02,154,60.03
U01_G19_V08,U01,G19,videos/User_01/Gesture_19/U01_G19_V08.mp4,allo,dual,B02,159,60.03
U01_G19_V09,U01,G19,videos/User_01/Gesture_19/U01_G19_V09.mp4,allo,dual,B02,155,59.41
U01_G19_V10,U01,G19,videos/User_01/Gesture_19/U01_G19_V10.mp4,allo,dual,B02,145,60.03
U01_G19_V11,U01,G19,videos/User_01/Gesture_19/U01_G19_V11.mp4,allo,dual,B02,150,58.85
